,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
310,Fallon,US,39.4735,-118.7774,99.91,6,40,0.0,scattered clouds
311,Huntsville,US,34.7304,-86.5861,91.2,48,0,5.99,clear sky
312,Tuktoyaktuk,CA,69.4541,-133.0374,39.2,81,75,20.71,broken clouds
313,Kutahya,TR,39.4242,29.9833,56.5,80,0,4.23,clear sky
314,Coihaique,CL,-45.5752,-72.0662,34.41,75,100,4.61,overcast clouds
315,Yumen,CN,40.2833,97.2,62.42,78,100,6.17,overcast clouds
316,Beringovskiy,RU,63.05,179.3167,46.81,97,100,11.12,overcast clouds
317,Ossora,RU,59.2353,163.0719,67.91,72,57,7.09,broken clouds
318,Akot,IN,21.0964,77.0586,75.69,94,100,10.07,overcast clouds
319,Nelson Bay,AU,-32.7167,152.15,54.0,81,46,14.0,scattered clouds
320,Calama,CL,-22.4667,-68.9333,55.89,15,0,18.41,clear sky
321,Bom Sucesso,BR,-21.0331,-44.7581,60.94,65,28,5.26,scattered clouds
322,Birin,NP,26.8865,88.0718,65.48,84,87,3.53,overcast clouds
323,La Romana,DO,18.4273,-68.9728,88.16,58,40,5.75,scattered clouds
324,Coahuayana,MX,18.7333,-103.6833,86.07,72,67,5.5,broken clouds
325,Sorland,NO,67.667,12.6934,49.86,89,100,19.8,light rain
326,Kangaba,ML,11.9333,-8.4167,74.12,91,97,2.62,overcast clouds
327,Yamada,JP,39.4667,141.95,70.45,94,100,3.76,overcast clouds
328,Alofi,NU,-19.0595,-169.9187,80.49,69,75,17.27,broken clouds
329,Koumra,TD,8.9126,17.5539,72.55,93,96,4.09,overcast clouds
330,Moroto,UG,2.5345,34.6666,67.69,62,96,1.66,overcast clouds
331,Yulara,AU,-25.2406,130.9889,43.95,44,0,6.38,clear sky
332,Zalantun,CN,48.0,122.7167,64.8,97,100,7.02,overcast clouds
333,Rehoboth,NA,-23.3167,17.0833,49.21,39,0,1.9,clear sky
334,Suez,EG,29.9737,32.5263,72.93,71,3,11.03,clear sky
335,Mountain Home,US,43.133,-115.6912,98.08,15,20,0.0,few clouds
336,Codrington,AU,-38.2667,141.9667,45.39,98,65,11.21,broken clouds
337,Matagami,CA,49.7502,-77.6328,71.71,35,0,10.36,clear sky
338,Hasaki,JP,35.7333,140.8333,79.29,84,92,9.8,overcast clouds
339,Aklavik,CA,68.2191,-135.0107,44.6,81,100,9.22,shower rain
340,Kieta,PG,-6.2167,155.6333,83.68,66,97,4.27,overcast clouds
341,Turgutlu,TR,38.4953,27.6997,73.15,65,0,1.21,clear sky
342,Vila Franca Do Campo,PT,37.7167,-25.4333,72.19,92,91,10.45,overcast clouds
343,Vestmannaeyjar,IS,63.4427,-20.2734,50.56,79,38,7.76,scattered clouds
344,Santa Rita,BR,-7.1139,-34.9781,77.67,83,75,8.05,broken clouds
